date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2016-04-22,11612,Friday,5,4,2016,1911,,,,,0,0,0
2016-04-23,11613,Saturday,6,4,2016,1912,,,,,0,0,0
2016-04-24,11613,Sunday,7,4,2016,1913,,,,,0,0,0
2016-04-25,11613,Monday,1,4,2016,1914,,,,,0,0,0
2016-04-26,11613,Tuesday,2,4,2016,1915,,,,,0,0,0
2016-04-27,11613,Wednesday,3,4,2016,1916,,,,,0,0,0
2016-04-28,11613,Thursday,4,4,2016,1917,,,,,0,0,0
2016-04-29,11613,Friday,5,4,2016,1918,,,,,0,0,0
2016-04-30,11614,Saturday,6,4,2016,1919,Pesach End,Religious,,,0,0,0
2016-05-01,11614,Sunday,7,5,2016,1920,OrthodoxEaster,Religious,,,1,1,0
2016-05-02,11614,Monday,1,5,2016,1921,,,,,1,0,1
2016-05-03,11614,Tuesday,2,5,2016,1922,,,,,1,1,1
2016-05-04,11614,Wednesday,3,5,2016,1923,,,,,1,0,0
2016-05-05,11614,Thursday,4,5,2016,1924,Cinco De Mayo,Cultural,,,1,1,1
2016-05-06,11614,Friday,5,5,2016,1925,,,,,1,1,1
2016-05-07,11615,Saturday,6,5,2016,1926,,,,,1,1,0
2016-05-08,11615,Sunday,7,5,2016,1927,Mother's day,Cultural,,,1,0,1
2016-05-09,11615,Monday,1,5,2016,1928,,,,,1,1,1
2016-05-10,11615,Tuesday,2,5,2016,1929,,,,,1,0,0
2016-05-11,11615,Wednesday,3,5,2016,1930,,,,,0,1,1
2016-05-12,11615,Thursday,4,5,2016,1931,,,,,0,1,1
2016-05-13,11615,Friday,5,5,2016,1932,,,,,0,1,0
2016-05-14,11616,Saturday,6,5,2016,1933,,,,,0,0,1
2016-05-15,11616,Sunday,7,5,2016,1934,,,,,0,1,1
2016-05-16,11616,Monday,1,5,2016,1935,,,,,0,0,0
2016-05-17,11616,Tuesday,2,5,2016,1936,,,,,0,0,0
2016-05-18,11616,Wednesday,3,5,2016,1937,,,,,0,0,0
2016-05-19,11616,Thursday,4,5,2016,1938,,,,,0,0,0
2016-05-20,11616,Friday,5,5,2016,1939,,,,,0,0,0
2016-05-21,11617,Saturday,6,5,2016,1940,,,,,0,0,0
2016-05-22,11617,Sunday,7,5,2016,1941,,,,,0,0,0
2016-05-23,11617,Monday,1,5,2016,1942,,,,,0,0,0
2016-05-24,11617,Tuesday,2,5,2016,1943,,,,,0,0,0
2016-05-25,11617,Wednesday,3,5,2016,1944,,,,,0,0,0
2016-05-26,11617,Thursday,4,5,2016,1945,,,,,0,0,0
2016-05-27,11617,Friday,5,5,2016,1946,,,,,0,0,0
2016-05-28,11618,Saturday,6,5,2016,1947,,,,,0,0,0
2016-05-29,11618,Sunday,7,5,2016,1948,,,,,0,0,0
2016-05-30,11618,Monday,1,5,2016,1949,MemorialDay,National,,,0,0,0
2016-05-31,11618,Tuesday,2,5,2016,1950,,,,,0,0,0
2016-06-01,11618,Wednesday,3,6,2016,1951,,,,,1,1,0
2016-06-02,11618,Thursday,4,6,2016,1952,NBAFinalsStart,Sporting,,,1,0,1
2016-06-03,11618,Friday,5,6,2016,1953,,,,,1,1,1
2016-06-04,11619,Saturday,6,6,2016,1954,,,,,1,0,0
2016-06-05,11619,Sunday,7,6,2016,1955,,,,,1,1,1
2016-06-06,11619,Monday,1,6,2016,1956,,,,,1,1,1
2016-06-07,11619,Tuesday,2,6,2016,1957,Ramadan starts,Religious,,,1,1,0
2016-06-08,11619,Wednesday,3,6,2016,1958,,,,,1,0,1
2016-06-09,11619,Thursday,4,6,2016,1959,,,,,1,1,1
2016-06-10,11619,Friday,5,6,2016,1960,,,,,1,0,0
2016-06-11,11620,Saturday,6,6,2016,1961,,,,,0,1,1
2016-06-12,11620,Sunday,7,6,2016,1962,,,,,0,1,1
2016-06-13,11620,Monday,1,6,2016,1963,,,,,0,1,0
2016-06-14,11620,Tuesday,2,6,2016,1964,,,,,0,0,1
2016-06-15,11620,Wednesday,3,6,2016,1965,,,,,0,1,1
2016-06-16,11620,Thursday,4,6,2016,1966,,,,,0,0,0
2016-06-17,11620,Friday,5,6,2016,1967,,,,,0,0,0
2016-06-18,11621,Saturday,6,6,2016,1968,,,,,0,0,0
2016-06-19,11621,Sunday,7,6,2016,1969,NBAFinalsEnd,Sporting,Father's day,Cultural,0,0,0
